code	original_code	title	composer	track_number	is_duplicate
022028	0220	オカルトアトラクト	あきやまうに	28	1
022029	0220	ネオ竹林インフレイム	あきやまうに	29	1
022030	0220	億万劫の鐘	あきやまうに	30	1
022031	0220	二色蓮花蝶　～ Red and White	ZUN/コンプ	31	1
022032	0220	恋色マスタースパーク	ZUN/oiko	32	1
022033	0220	時代親父とハイカラ少女	ZUN/しゃばだば	33	1
022034	0220	感情の摩天楼　～ Cosmic Mind	ZUN/NYO	34	1
022035	0220	大神神話伝	ZUN/鯛の小骨	35	1
022036	0220	聖徳伝説　～ True Administrator	ZUN/鷹	36	1
022037	0220	芥川龍之介の河童 ～ Candid Friend	ZUN/ゆうゆ	37	1
022038	0220	ハルトマンの妖怪少女	ZUN/岸田	38	1
022039	0220	幻想郷の二ッ岩	ZUN/秀三	39	1
022040	0220	亡失のエモーション	ZUN/どぶウサギ	40	1
022041	0220	月まで届け、不死の煙	ZUN/ziki_7	41	1
022042	0220	輝く針の小人族　～ Little Princess	ZUN/ぴずや	42	1
022043	0220	華狭間のバトルフィールド	ZUN/Kou Ogata	43	1
022044	0220	ラストオカルティズム　～ 現し世の秘術師	ZUN/ARM	44	1
022045	0220	狂気の瞳　～ Invisible Full Moon	ZUN/ビートまりお	45	1
022046	0220	永遠の春夢	ZUN/狐夢想	46	1
022047	0220	有頂天変　～ Wonderful Heaven	ZUN/紅い流星	47	1
022048	0220	夜が降りてくる　～ Evening Star	ZUN/ELEMENTAS	48	1
022049	0220	アンノウンX　～ Occultly Madness	ZUN	49	0
022050	0220	憑坐は夢と現の間に　～ Necro-Fantasia	ZUN	50	0
022051	0220	今宵は飄逸なエゴイスト(Live ver)　～ Egoistic Flowers.	ZUN	51	0
022052	0220	行雲流水	あきやまうに	52	0
022053	0220	疑惑の芽生え	あきやまうに	53	0
022054	0220	未だ蕾む憑依華	あきやまうに	54	0
022055	0220	真相へ繋がる枝葉	あきやまうに	55	0
022056	0220	咲き誇る憑依華	あきやまうに	56	0
022057	0220	舞い散る憑依華吹雪	あきやまうに	57	0
022058	0220	悠久の蒸気機関	あきやまうに/Kou Ogata	58	1
022101	0221	桜舞い散る天空	ZUN	1	0
022102	0221	希望の星は青霄に昇る	ZUN	2	0
022103	0221	真夏の妖精の夢	ZUN	3	0
022104	0221	色無き風は妖怪の山に	ZUN	4	0
022105	0221	山奥のエンカウンター	ZUN	5	0
022106	0221	桜色の海を泳いで	ZUN	6	0
022107	0221	一対の神獣	ZUN	7	0
022108	0221	幻想のホワイトトラベラー	ZUN	8	0
022109	0221	魔法の笠地蔵	ZUN	9	0
022110	0221	禁断の扉の向こうは、この世かあの世か	ZUN	10	0
022111	0221	クレイジーバックダンサーズ	ZUN	11	0
