code	original_code	title	composer	track_number	is_duplicate
020203	0202	クリスタライズシルバー	ZUN	3	0
020204	0202	遠野幻想物語	ZUN	4	0
020205	0202	ティアオイエツォン(withered leaf)	ZUN	5	0
020206	0202	ブクレシュティの人形師	ZUN	6	0
020207	0202	人形裁判　～ 人の形弄びし少女	ZUN	7	0
020208	0202	天空の花の都	ZUN	8	0
020209	0202	幽霊楽団　～ Phantom Ensemble	ZUN	9	0
020210	0202	東方妖々夢　～ Ancient Temple	ZUN	10	0
020211	0202	広有射怪鳥事　～ Till When?	ZUN	11	0
020212	0202	アルティメットトゥルース	ZUN	12	0
020213	0202	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN	13	0
020214	0202	ボーダーオブライフ	ZUN	14	0
020215	0202	妖々跋扈	ZUN	15	0
020216	0202	少女幻葬　～ Necro-Fantasy	ZUN	16	0
020217	0202	妖々跋扈　～ Who done it!	ZUN	17	0
020218	0202	ネクロファンタジア	ZUN	18	0
020219	0202	春風の夢	ZUN	19	0
020220	0202	さくらさくら　～ Japanize Dream...	ZUN	20	0
020221	0202	過去の花　～ Fairy of Flower	ZUN	21	0
020301	0203	萃夢想	U2	1	0
020302	0203	東方妖恋談	ZUN/NKZ	2	1
020303	0203	少女綺想曲　～ Capriccio	ZUN/U2	3	1
020304	0203	恋色マジック	ZUN/NKZ	4	1
020305	0203	魔女達の舞踏会　～ Magus	ZUN/U2	5	0
020306	0203	メイドと血の懐中時計	ZUN/NKZ	6	1
020307	0203	月時計　～ ルナ・ダイアル	ZUN/U2	7	1
020308	0203	ブクレシュティの人形師	ZUN/NKZ	8	1
020309	0203	人形裁判	ZUN/U2	9	1
020310	0203	ラクトガール　～ 少女密室	ZUN/NKZ	10	1
020311	0203	ヴワル魔法図書館	ZUN/U2	11	1
020312	0203	広有射怪鳥事　～ Till When？	ZUN/NKZ	12	1
020313	0203	東方妖々夢　～ Ancient Temple	ZUN/U2	13	1
020314	0203	亡き王女の為のセプテット	ZUN/NKZ	14	1
020315	0203	幽雅に咲かせ、墨染の桜　～ Border of Life	ZUN/NKZ	15	1
020316	0203	Demystify Feast	ZUN	16	0
020317	0203	夜が降りてくる　～ Evening Star	ZUN	17	0
020318	0203	御伽の国の鬼が島　～ Missing Power	ZUN	18	0
020319	0203	夏明き	NKZ	19	0
